1	Are you gonna be my girl
2	Are you gonna go my way
3	Baby One More Time
4	Baby Said
5	Beds are Burning
6	Black or White
7	Deeper Underground
8	Heavy Cross
9	Hella Good
10	Hippy hippy shake
11	How You Remind Me
12	Hysteria
13	I'll be there for you
14	In the shadows
15	It's Not Over
16	Last Night
17	Lonely Boy
18	Maniak
19	Message In A Bottle
20	New Years Day
21	No Roots
22	No Tomorrow
23	Personal Jesus
24	She Knows The Devil
25	Somebody Told Me
26	Stupid Girl
27	Tainted Love
28	Take Me Out
29	Take On Me
30	Time is Running Out
31	Uptown Funk
32	Viva La Vida
33	Zombie
